feature,mean_abs_shap
age_ordinal,0.26212096
high_risk_discharge,0.23434444
total_prior_utilization,0.18577424
admission_type_Emergency,0.1589049
num_prior_admissions_1yr,0.15622962
time_in_hospital,0.15251122
A1Cresult_>8,0.1450893
num_medications,0.12629448
number_inpatient_prior,0.12279366
num_lab_procedures,0.09212976
discharge_disposition_Skilled Nursing Facility,0.09087001
admission_type_Urgent,0.06767777
number_diagnoses,0.06709642
diag_circulatory,0.06411669
comorbidity_count,0.059836406
diag_diabetes,0.051091183
diag_renal,0.04104584
insulin_Steady,0.03481594
num_procedures,0.03328891
race_Hispanic,0.030503113
gender_Male,0.029351093
med_change_No,0.0285254
insulin_No,0.028518202
admission_source_Transfer,0.027877169
race_Caucasian,0.02691187
number_emergency,0.026175497
diabetesMed_Yes,0.02589342
diag_respiratory,0.024039848
number_outpatient,0.020711992
admission_type_Newborn,0.016831078
admission_source_Physician Referral,0.016452242
A1Cresult_Norm,0.0145868305
diag_cancer,0.013599601
insulin_Up,0.0130088
discharge_disposition_Home Health Care,0.012340921
polypharmacy,0.012189144
discharge_disposition_Other Facility,0.011997511
admission_source_Other,0.0104163
race_Other,0.008749354
max_glu_serum_Norm,0.008220375
race_Asian,0.006881582
max_glu_serum_>300,0.0035992025
extended_stay,0.0034002832
